Date,Cases
10/7/22,10
10/8/22,2
10/9/22,15
10/10/23,6
10/11/23,9
10/12/23,5
10/13/23,8
10/14/23,3
10/15/23,7
10/16/23,19
10/17/23,6
10/18/23,9
10/19/23,3
10/20/23,13
10/21/23,8
10/22/23,13
10/23/23,14
10/24/23,9
10/25/23,24
10/26/23,9
10/27/23,8
10/28/23,5
10/29/23,16
10/30/23,17
10/31/23,5
11/1/23,13
11/2/23,6
11/3/23,12
11/4/23,11
11/5/23,6
11/6/23,15
11/7/23,12
11/8/23,15
11/9/23,7
11/10/23,4
11/11/23,11
11/12/23,8
11/13/23,16
11/14/23,10
11/15/23,19
11/16/23,17
11/17/23,13
11/18/23,11
11/19/23,10
11/20/23,12
11/21/23,24
11/22/23,15
11/23/23,9
11/24/23,12
11/25/23,14
11/26/23,24
11/27/23,35
11/28/23,28
11/29/23,16
11/30/23,17
12/1/23,18
12/2/23,9
12/3/23,13
12/4/23,15
12/5/23,16
12/6/23,24
12/7/23,16
12/8/23,21
12/9/23,6
12/10/23,27
12/11/23,19
12/12/23,23
12/13/23,35
12/14/23,23
12/15/23,21
12/16/23,19
12/17/23,14
12/18/23,18
12/19/23,24
12/20/23,31
12/21/23,22
12/22/23,19
12/23/23,22
12/24/23,20
12/25/23,9
12/26/23,25
12/27/23,23
12/28/23,27
12/29/23,27
12/30/23,19
12/31/23,14
1/1/24,13
1/2/24,26
1/3/24,25
1/4/24,12
1/5/24,18
1/6/24,8
1/7/24,9
1/8/24,17
1/9/24,10
1/10/24,19
1/11/24,4
1/12/24,9
1/13/24,7
1/14/24,10
1/15/24,12
1/16/24,21
1/17/24,12
1/18/24,9
1/19/24,15
1/20/24,9
1/21/24,9
1/22/24,10
1/23/24,9
1/24/24,11
1/25/24,9
1/26/24,14
1/27/24,5
1/28/24,11
1/29/24,13
1/30/24,12
1/31/24,7
2/1/24,15
2/2/24,11
2/3/24,11
2/4/24,8
2/5/24,14
2/6/24,12
2/7/24,16
2/8/24,6
2/9/24,9
2/10/24,5
2/11/24,8
2/12/24,12
2/13/24,15
2/14/24,15
2/15/24,15
2/16/24,6
2/17/24,8
2/18/24,8
2/19/24,9
2/20/24,15
2/21/24,14
2/22/24,4
2/23/24,7
2/24/24,9
2/25/24,8
2/26/24,7
2/27/24,10
2/28/24,13
2/29/24,14
3/1/24,6
3/2/24,8
3/3/24,4
3/4/24,11
3/5/24,7
3/6/24,8
3/7/24,6
3/8/24,7
3/9/24,5
